Language Codes,ISO language name,macroarea
af,Afrikaans,Africa
ar,Arabic,
bg,Bulgarian,Eurasia
bn,Bengali,Eurasia
ca,"Catalan, Valencian",
cs,Czech,Eurasia
cy,Welsh,Eurasia
da,Danish,Eurasia
de,German,Eurasia
el,"Greek, Modern (1453â€“)",
en,English,Eurasia
es,"Spanish, Castilian",
et,Estonian,Eurasia
fa,Persian,Eurasia
fi,Finnish,Eurasia
fr,French,Eurasia
gu,Gujarati,Eurasia
he,Hebrew,
hi,Hindi,Eurasia
hr,Croatian,
hu,Hungarian,Eurasia
id,Indonesian,Papunesia
it,Italian,Eurasia
ja,Japanese,Eurasia
kn,Kannada,Eurasia
ko,Korean,Eurasia
lt,Lithuanian,Eurasia
lv,Latvian,Eurasia
mk,Macedonian,Eurasia
ml,Malayalam,Eurasia
mr,Marathi,Eurasia
ne,Nepali,Eurasia
nl,"Dutch, Flemish",
no,Norwegian,Eurasia
pa,"Punjabi, Panjabi",
pl,Polish,Eurasia
pt,Portuguese,Eurasia
ro,"Romanian, Moldavian, Moldovan",
ru,Russian,Eurasia
sk,Slovak,Eurasia
sl,Slovenian,
so,Somali,Africa
sq,Albanian,Eurasia
sv,Swedish,Eurasia
sw,Swahili,Africa
ta,Tamil,Eurasia
te,Telugu,Eurasia
th,Thai,Eurasia
tl,Tagalog,Papunesia
tr,Turkish,Eurasia
uk,Ukrainian,Eurasia
ur,Urdu,Eurasia
vi,Vietnamese,Eurasia
zh-cn,,
zh-tw,,
